Sl No ,REGISTERED DISTRICT ,Registered PS ,FIR No. ,TRANSFERRED DISTRICT ,Transferred PS ,Re registered FIR No. ,Reason for transferring FIR 
451,INDRAPURAM ,8043/2017 ,GHAZIABAD ,GHAZIABAD KOTWALI ,,घटना क्षेत्र थाना कोतवाली का होने के कारण ,
,,,,,,,
452,INDRAPURAM ,8073/2017 ,GHAZIABAD ,INDRAPURAM ,,घटना स्थल थाना बवजय नगर का होने के कारण ,
,,,,,,,
453,INDRAPURAM ,8186/2017 ,GHAZIABAD ,LINK ROAD ,0475/2017 ,घटना क्षेत्र थाना मलंक रोड का होने के कारण ,
,,,,,,,
454,INDRAPURAM ,8220/2017 ,GHAZIABAD ,SAHIBABAD ,,घटना क्षेत्र थाना साहहबाबाि का होने के कारण ,
,,,,,,,
455,INDRAPURAM ,8257/2017 ,GHAZIABAD ,SAHIBABAD ,,घटना क्षेत्र थाना साहहबाबाि का होने के कारण ,
,,,,,,,
456,KAVI NAGAR ,7017/2016 ,GHAZIABAD ,SIHANI GATE ,1769/2016 ,"घटना स्थल थाना मसहानी गेट, गान्जयाबाि का होने के कारण ",
,,,,,,,
457,KAVI NAGAR ,7027/2017 ,GHAZIABAD ,VIJAY NAGAR ,1144/2017 ,घटना स्थल थाना बवजयनगर गान्जयाबाि से सम्बन्न्धत होने के कारण ,
,,,,,,,
458,KAVI NAGAR ,7032/2017 ,GHAZIABAD ,INDRAPURAM ,0935/2017 ,घटना स्थल इन्न्िरापुरि थाना क्षेत्र का होने के कारण ,
,,,,,,,
459,LINK ROAD ,7009/2016 ,GHAZIABAD ,INDRAPURAM ,7027/2017 ,घटनास्थल इन्रापुरि का होने के कारण ,
,,,,,,,
460,LINK ROAD ,0297/2017 ,GHAZIABAD ,MAHILA THANA ,,िुकििा उपरोक्त िहेज एक्ट का होने के कारण ,
,,,,,,,
461,LINK ROAD ,7031/2017 ,GHAZIABAD ,INDRAPURAM ,1008/2017 ,घटनास्थल थाना इन्न्िरापुरि का होने के कारण ,
,,,,,,,
462,LONI ,9996/2015 ,GHAZIABAD ,MAHILA THANA ,,by mistakly loni sletct hona ,
,,,,,,,
463,LONI ,9997/2015 ,GHAZIABAD ,MAHILA THANA ,,िहहला उ0मन0 का न होना ,
,,,,,,,
464,LONI ,9998/2015 ,GHAZIABAD ,MAHILA THANA ,,िहहला उ0मन0 का न होना ,
,,,,,,,
465,LONI ,9999/2015 ,GHAZIABAD ,MAHILA THANA ,0411/2015 ,िहहला उ0मन0 का न होना ,
,,,,,,,
466,LONI ,9984/2016 ,GHAZIABAD ,MAHILA THANA ,0178/2016 ,िहहला से सम्बन्न्धत अपराध होने के कारण िुकििा अपराध संख्या मनल पर काटकर िहहला थाना स्थानान्तररत हकया गया ,
,,,,,,,
467,LONI ,9986/2016 ,GHAZIABAD ,MAHILA THANA ,0216/2016 ,िहहला सम्बन्धी अपराध होने के कारण िुकििा अपराध संख्या मनल पर िहहला थाना गान्जयाबाि स्थानान्तररत हकया गया ,
,,,,,,,
468,LONI ,9990/2016 ,GHAZIABAD ,MAHILA THANA ,0146/2016 ,िुकििा मनल पर हकता कर िहहला थाना स्थानान्तररत हकया गया ,
,,,,,,,
469,GRP GHAZIABAD ,0994/2016 ,SHAHJAHANPUR ,GRP SHAHJAHANPUR ,,घटना स्थल शाहजहााँपुर होने के कारण स्थनान्तरण थाना जी0आर0पी0 शाहजहााँपुर ,
,,,,,,,
470,LONI ,0678/2017 ,GHAZIABAD ,SAHIBABAD ,,घटनास्थल के आधार पर ,
,,,,,,,
471,LONI ,7022/2017 ,GHAZIABAD ,TRONICA CITY ,,घटना स्थल थाना ट्रोमनका मसटी का है ,
,,,,,,,
472,LONI ,7037/2017 ,GHAZIABAD ,LONI BORDER ,,घटना स्थल थाना लोनी बाडटर से सम्बन्न्धत है ,
,,,,,,,
473,LONI ,7039/2017 ,GHAZIABAD ,TRONICA CITY ,,घटना स्थल थाना ट्रोमनका मसटी से सिा् ाबन्न्धत हैा। ,
,,,,,,,
474,LONI ,7043/2017 ,GHAZIABAD ,TRONICA CITY ,,घटना स्थला थाना ट्रोमनका क्षेत्र िे है। ,
,,,,,,,
475,MODI NAGAR ,7005/2017 ,GHAZIABAD ,INDRAPURAM ,7274/2017 ,थाना इन्िारपुरि से सम्बन्न्धत ,
,,,,,,,
476,MODI NAGAR ,7041/2017 ,GHAZIABAD ,SIHANI GATE ,0835/2017 ,उक्त एफआईआर िें घटना स्थल पुराना बस अड्डा है जो मसहानी गेट थाना के अन्तगतट आता है ,
,,,,,,,
477,MODI NAGAR ,7057/2017 ,GHAZIABAD ,SIHANI GATE ,,E FIR NO7057/17 धारा 379 भािबव का घटना स्थल मसब्बनपुरा भीि राव अम्बेडकर स्कूल पटेल िागट थाना मसहानी गेट का है जो थाना मसहानी गेट के अन्तगतट आता है । अतःe FIR No 7057/17 धारा 379 भािबव का थाना मसहानी गेट भेजने की कृ पा करें । ,
,,,,,,,
478,BHOJPUR ,0299/2016 ,GHAZIABAD ,MODI NAGAR ,,धटनास्थल थाना क्षेत्र िोिीनगर का होना पाया गया ,
,,,,,,,
479,SAHIBABAD ,0805/2015 ,GHAZIABAD ,MAHILA THANA ,,िहहला सम्बन्धी अपराध का होना ,
,,,,,,,
480,SAHIBABAD ,2044/2016 ,GHAZIABAD ,SIHANI GATE ,0383/2017 ,घटना स्थल थाना मसहानी गेट क्षेत्र का होने के कारण ,
,,,,,,,
481,SAHIBABAD ,7011/2016 ,GHAZIABAD ,LINK ROAD ,7011/2016 ,घटना स्थल का थाना मलंकरोड का होना ,
,,,,,,,
482,SAHIBABAD ,7016/2016 ,GHAZIABAD ,GRP GHAZIABAD ,,घटनास्थल थाना GRP गान्जयाबाि का होना ,
,,,,,,,
483,SAHIBABAD ,7019/2016 ,GHAZIABAD ,LINK ROAD ,7020/2016 ,घटनास्थल का थाना मलंक रोड का पाया जाना ,
,,,,,,,
484,SAHIBABAD ,7020/2016 ,GHAZIABAD ,KAVI NAGAR ,7007/2017 ,घटनास्थल का थाना कबव नगर क्षेत्र का होना पाया जाना ,
,,,,,,,
485,SAHIBABAD ,1221/2017 ,GHAZIABAD ,LINK ROAD ,0436/2017 ,घटनास्थल के आधार पर ,
,,,,,,,
486,SAHIBABAD ,7008/2017 ,GHAZIABAD ,LINK ROAD ,7010/2017 ,घटनास्थल थाना मलंकरोड क्षेत्र का होना ,
,,,,,,,
487,SAHIBABAD ,7011/2017 ,GHAZIABAD ,LINK ROAD ,7011/2017 ,घटनास्थल थाना मलंकरोड क्षेत्र का होना ,
,,,,,,,
488,SAHIBABAD ,7016/2017 ,GHAZIABAD ,LINK ROAD ,7022/2017 ,घटना स्थल का होना थाना मलंक रोड का पाया गया ,
,,,,,,,
489,SAHIBABAD ,7017/2017 ,GHAZIABAD ,INDRAPURAM ,1040/2017 ,घटना स्थल थाना इन्न्िरापुरि का पाया जाना ,
,,,,,,,
490,SAHIBABAD ,7029/2017 ,GHAZIABAD ,LINK ROAD ,7030/2017 ,घटनास्थल थाना मलंक रोड के क्षेत्र का होना ,
,,,,,,,
491,SAHIBABAD ,7030/2017 ,GHAZIABAD ,SIHANI GATE ,0837/2017 ,घटनास्थल थाना मसहानीगेट के क्षेत्र का होना ,
,,,,,,,
492,SAHIBABAD ,7032/2017 ,GHAZIABAD ,LINK ROAD ,7032/2017 ,घटनास्थल थाना मलंक रोड के क्षेत्र का होना ,
,,,,,,,
493,SAHIBABAD ,7036/2017 ,GHAZIABAD ,INDRAPURAM ,7716/2017 ,घटनास्थल थाना इन्न्िरापुरि के क्षेत्र का होना ,
,,,,,,,
494,SAHIBABAD ,7037/2017 ,GHAZIABAD ,LINK ROAD ,7037/2017 ,घटनास्थल का थाना मलंक रोड क्षेत्र का होना ,
,,,,,,,
495,SAHIBABAD ,7038/2017 ,GHAZIABAD ,LINK ROAD ,7038/2017 ,घटनास्थल थाना मलंक रोड के क्षेत्र का होना ,
,,,,,,,
496,SAHIBABAD ,7048/2017 ,GHAZIABAD ,LINK ROAD ,7048/2017 ,घटनास्थल का थाना मलंक रोड का होना ,
,,,,,,,
497,SAHIBABAD ,7051/2017 ,GHAZIABAD ,LINK ROAD ,0379/2017 ,घटनास्थल थाना मलंक रोड का होना ,
,,,,,,,
498,SAHIBABAD ,7057/2017 ,GHAZIABAD ,LINK ROAD ,0470/2017 ,घटनास्थल थाना मलंक रोड का होना ,
,,,,,,,
499,SAHIBABAD ,7058/2017 ,GHAZIABAD ,LINK ROAD ,7058/2017 ,घटनास्थल थाना मलंक रोड का होना ,
,,,,,,,
500,SAHIBABAD ,7059/2017 ,GHAZIABAD ,LINK ROAD ,0469/2017 ,घटनास्थल थाना मलंक रोड का होना ,
,,,,,,,
501,SAHIBABAD ,7075/2017 ,GHAZIABAD ,LINK ROAD ,7075/2017 ,घटना स्थल वहा का पाया गया ,
,,,,,,,
502,SIHANI GATE ,1771/2016 ,GHAZIABAD ,MAHILA THANA ,,िहील सम्बन्धी अपराध होने के कारण ,
,,,,,,,
503,SIHANI GATE ,0379/2017 ,GHAZIABAD ,GHAZIABAD KOTWALI ,,घटनास्थल थाना कोतवाली नगर गा0बाि का होने के कारण ,
,,,,,,,
504,SIHANI GATE ,7001/2017 ,GHAZIABAD ,GHAZIABAD KOTWALI ,,घटनास्थल गा0बाि कोतवाली का है ,
,,,,,,,
505,SIHANI GATE ,7004/2017 ,GHAZIABAD ,SAHIBABAD ,,घटनास्थल थाना साहहबाबाि का होने के कारण ,
,,,,,,,
506,SIHANI GATE ,7120/2017 ,GHAZIABAD ,INDRAPURAM ,1041/2017 ,घटना स्थल थाना क्षेत्र इन्न्िरापुरि का होने के कारण ,
,,,,,,,
507,SIHANI GATE ,7171/2017 ,GHAZIABAD ,GHAZIABAD KOTWALI ,,घटनास्थल थाना क्षेत्र कोतवाली नगर का होने के कारण ,
,,,,,,,
508,SIHANI GATE ,7183/2017 ,GHAZIABAD ,GHAZIABAD KOTWALI ,,घटनास्थल थाना क्षेत्र कोतवाली नगर का होने के कारण ,
,,,,,,,
509,SIHANI GATE ,7231/2017 ,GHAZIABAD ,SAHIBABAD ,,वािी से बाती की गयी तो घटनास्थल थाना साहहबाबाि का पाया गया। ,
,,,,,,,
510,VIJAY NAGAR ,1297/2015 ,GHAZIABAD ,VIJAY NAGAR ,,क्षेत्रामधकारी िहोिय के आिेशानुसार ,
,,,,,,,
511,,VIJAY NAGAR ,9995/2015 ,GHAZIABAD ,INDRAPURAM ,,क्षेत्र थाना इन्न्िरापुरि का होने के कारण 
,,,,,,,
512,VIJAY NAGAR ,7008/2017 ,GHAZIABAD ,GHAZIABAD KOTWALI ,,घटना स्थल अन्य थाना क्षेत्र होने के कारण ,
,,,,,,,
513,INDRAPURAM ,0707/2015 ,GAUTAM BUDH NAGAR ,NOIDA SECTOR-58 ,,घटना क्षेत्र सेक्टर 58 नोएडा का होने के कारण ,
,,,,,,,
514,GRP GHAZIABAD ,0996/2016 ,LUCKNOW ,GRP CHARBAGH LUCKNOW ,,घटना स्थल रेलवे स्टेशन आलिनगर लखनऊ बाहृि क्षेत्र थाना GRP लखनऊ ,
,,,,,,,
515,GHAZIPUR ,KHANPUR ,0054/2014 ,AZAMGARH ,JAHANAGANJ ,,मनस्तारण हेतु 
,,,,,,,
516,DILDAR NAGAR ,0035/2013 ,AGRA ,SIKANDARA ,,बववेचना व स्थान ,
,,,,,,,
517,DILDAR NAGAR ,0035/2015 ,AGRA ,SIKANDARA ,,बववेचना व स्थान ,
,,,,,,,
518,BIRNO ,0015/2015 ,GHAZIPUR ,MARDAH ,,हस्व आिेश श्रीिान CO कामसिाबाि के अमभयोग का घटना स्थल थाना िरिह होने के कारण हिनांक 26315 को स्थानान्तरण थाना िरिह िे र0न0ं 9 सिय 7.25 हि0 27515 को ि0ु अ0स0ं 245/15 पर लाया गया है। ,
,,,,,,,
519,BAHARIYA BAD ,0802/2016 ,GHAZIPUR ,JANGI PUR ,,िकद्दिें िें चोरी का घटनास्थल थाना जंगीपुर गाजीपुर से सम्बन्न्धत है ,
,,,,,,,
520,GRP GHAZIPUR ,0097/2017 ,GHAZIABAD ,GRP GHAZIABAD ,,घटनास्थल जी0आऱ0पी0 गान्जयाबाि ,
,,,,,,,
521,DULLAHPUR ,0174/2016 ,BALLIA ,RASRA ,,बववेचना थाना रसडा जनपि बमलया के ि0ु अ0स0ं 428/16 धारा 379 ipc बनाि अज्ञात िे सिाहहत व बववेचना स्थानान्तरण हिनांक 11/7/16 को हकया गया । ,
,,,,,,,
522,MOHAMMADABAD ,0548/2015 ,GHAZIPUR ,KOTWALI ,,घटना कोतवाली क्षेत्र का है ,
,,,,,,,
523,SADAT ,0418/2015 ,GHAZIPUR ,SADAT ,,बववेचक का नाि नही आने के कारण ,
,,,,,,,
524,SADAT ,0795/2016 ,GHAZIPUR ,SHADIABAD ,,घटनास्थल थाना शाहियाबाि के अन्तगतट होने के कारण आिेशानुसार spिहोिय गाजीपुर के अनुपालन िे थाना शाहियाबाि को स्थानान्तररत हकया जाता है। ,
,,,,,,,
525,SAIDPUR ,0097/2013 ,GHAZIPUR ,KHANPUR ,,TESTTESTTESTTESTTESTTEST ,
,,,,,,,
526,KHANPUR ,0015/2013 ,VARANASI ,SIGRA ,,मनस्तारण हेतु ,
,,,,,,,
527,KHANPUR ,0509/2014 ,VARANASI ,CHAUBEPUR ,,मनस्तारण हेतु ,
,,,,,,,
528,DULLAHPUR ,0052/2014 ,MAU ,GRP MAU ,,बववेचना GRP चौकी औहडहार थाना GRP िऊ के ि0ु अ0स0ं 149/15 धारा 379379/411 ipc िे सिाहहत है । न्जसके कारण िुकििा GRP िऊ स्थानान्तरण हकया जा चकु ा है । ,
,,,,,,,
529,DULLAHPUR ,0050/2015 ,MAU ,GRP MAU ,,ि0ु अ0स0ं 50/15 धारा 41/411 ipc थाना िल्ु लहपुर का सम्बन्ध GRP चौकी औहडहार थाना GRP िऊ से है । न्जसके कारण िुकििा उपरोक्त थाना GRP िऊ स्थानान्तरण हिनांक 2/6/2015 को हकया ज ा च कु ा ह ै । ,
,,,,,,,
530,DULLAHPUR ,0053/2015 ,VARANASI ,CANTT ,,रेलवे से सम्बन्न्धत ,
,,,,,,,
531,GONDA ,GRP GONDA ,0260/2017 ,BASTI ,GRP BASTI ,0624/2017 ,घटना स्थल थाना जी0आर0पी0 बस्ती क्षेत्र पायें जाने के कारण 
,,,,,,,
532,GRP GONDA ,1004/2016 ,JHANSI ,GRP JHANSI ,,घटना स्थल थाना क्षेत्र से बाहर होने के कारण ,
,,,,,,,
533,KOTWALI DEHAT ,0244/2017 ,GONDA ,KOTWALI NAGAR ,0613/2017 ,घटना स्थल कोतवाली नगर िें पाये जाने के कारण ,
,,,,,,,
534,GRP GONDA ,1002/2016 ,SITAPUR ,GRP SITAPUR ,,घटना स्थल थाना क्षेत्र से बाहर होने के कारण ,
,,,,,,,
535,GRP GONDA ,0262/2017 ,GORAKHPUR ,GRP GORAKHPUR ,,घटना स्थल थाना जी0आर0पी0 गोरखपुर क्षेत्र िें होने के कारण ,
,,,,,,,
536,GRP GONDA ,0259/2017 ,MORADABAD ,GRP MORADABAD ,,घटनास्थानथानाक्षेत्र जी0आर0पी0िुरािाबािहोनेकेकारण ,
,,,,,,,
537,MANKAPUR ,1003/2015 ,VARANASI ,SIGRA ,0065/2016 ,घटनास्थल थाना मसगरा जनपि वाराणसी के अन्तगतट है। ,
,,,,,,,
538,GRP GONDA ,0263/2017 ,MAHRAJGANJ ,GRP ANAND NAGAR ,0486/2017 ,घटना स्थल थाना जी0आर0पी0 आनन्ि नगर क्षेत्र का होने के कारण ,
,,,,,,,
539,GRP GONDA ,0258/2017 ,LUCKNOW ,GRP CHARBAGH LUCKNOW ,,घटना स्थल थाना जी0आर0पी0 चारबाग लखनऊ क्षेत्र के होने के कारण ,
,,,,,,,
540,GORAKHPUR ,GRP GORAKHPUR ,0692/2015 ,BASTI ,GRP BASTI ,0517/2015 ,घटना स्थल थाना जी.आर.पी.बस्ती होने के कारण 
,,,,,,,
541,GRP GORAKHPUR ,9925/2016 ,BASTI ,GRP BASTI ,0508/2016 ,घटना स्थल थाना जीआरपी बस्ती का क्षेत्र होने के कारण ,
,,,,,,,
542,GRP GORAKHPUR ,9969/2016 ,BASTI ,GRP BASTI ,0130/2016 ,घटना स्थल थान जीआरपी बस्ती का पाया जाना ,
,,,,,,,
543,GRP GORAKHPUR ,9994/2015 ,BASTI ,GRP BASTI ,0518/2015 ,घटना स्थल थाना जी.आर.पी.बस्ती होने के कारण ,
,,,,,,,
544,GRP GORAKHPUR ,9995/2015 ,BASTI ,GRP BASTI ,,घटना स्थल थाना जी.आर.पी.बस्ती होने के कारण ,
,,,,,,,
545,GRP GORAKHPUR ,9993/2015 ,GONDA ,GRP GONDA ,,घटना स्थल थाना जीआरपी गोण्डा होने के कारण ,
,,,,,,,
546,GRP GORAKHPUR ,9998/2015 ,GONDA ,GRP GONDA ,,घटना स्थल थाना जी.आर.पी.होने के कारण ,
,,,,,,,
547,GRP GORAKHPUR ,9911/2016 ,GONDA ,GRP GONDA ,,घटना स्थल थाना जीआरपी गोंडा होने के कारण ,
,,,,,,,
548,GRP GORAKHPUR ,9912/2016 ,GONDA ,GRP GONDA ,,घटना स्थल थाना जीआरपी गोंडा होने के कारण ,
,,,,,,,
549,GRP GORAKHPUR ,9920/2016 ,GONDA ,GRP GONDA ,,घटना स्थल थाना जीआपरी गोंडा का होने के कारण ,
,,,,,,,
550,GRP GORAKHPUR ,9929/2016 ,GONDA ,GRP GONDA ,,घटना स्थल थाना जीआरपी गोन्डा का क्षेत्र होने के कारण ,
,,,,,,,
551,GRP GORAKHPUR ,9932/2016 ,GONDA ,GRP GONDA ,,घटना स्थल थाना जीआरपी गोंडा का पाया जाना ,
,,,,,,,
552,GRP GORAKHPUR ,9946/2016 ,GONDA ,GRP GONDA ,,घटना स्थल थाना जीआरपी गोंडा का होना ,
,,,,,,,
553,GRP GORAKHPUR ,9961/2016 ,GONDA ,GRP GONDA ,,घटना स्थल थाना जीआरपी गोण्डा का होना ,
,,,,,,,
554,GRP GORAKHPUR ,9965/2016 ,GONDA ,GRP GONDA ,,घटना स्थल थाना जीआरपी गोण्डा का पाया जाना ,
,,,,,,,
555,GRP GORAKHPUR ,9968/2016 ,GONDA ,GRP GONDA ,,घटना स्थल थाना जीआरपी गोण्डा का पाया जाना ,
,,,,,,,
556,GRP GORAKHPUR ,9997/2016 ,BASTI ,GRP BASTI ,0124/2016 ,घटना स्थल थाना जीआरपी बस्ती का होना ,
,,,,,,,
557,GRP GORAKHPUR ,9973/2016 ,GONDA ,GRP GONDA ,,घटना स्थल थाना जीआरपी गोण्डा का पाया जाना ,
,,,,,,,
558,GRP GORAKHPUR ,9977/2016 ,GONDA ,GRP GONDA ,,घटना स्थल वहि थाना क्षेत्र जीआरपी गोण्डा का पाया जाना ,
,,,,,,,
559,GRP GORAKHPUR ,9993/2016 ,GONDA ,GRP GONDA ,,घटना स्थल थाना जीआरपी गोण्डा का होने के कारण ,
,,,,,,,
560,GRP GORAKHPUR ,9978/2016 ,DEORIA ,GRP DEORIA ,,घटना स्थल थाना जीआरपी िेवररया का होना ,
,,,,,,,
561,GRP GORAKHPUR ,9991/2016 ,DEORIA ,GRP DEORIA ,,घटना स्थल थाना जीआरपी िेवररया होने के कारण ,
,,,,,,,
562,GRP GORAKHPUR ,9910/2016 ,DEORIA ,GRP DEORIA ,,घटना स्थल थाना जीआरपी िेवररया होने के कारण ,
,,,,,,,
563,GRP GORAKHPUR ,9918/2016 ,DEORIA ,GRP BHATNI ,0307/2016 ,घटना स्थल थाना जीआरपी भटनी का पाया जाना ,
,,,,,,,
564,GRP GORAKHPUR ,9924/2016 ,DEORIA ,GRP DEORIA ,,घटना स्थल थाना जीआरपी िेवररया होने के कारण ,
,,,,,,,
565,GRP GORAKHPUR ,9964/2016 ,DEORIA ,GRP DEORIA ,,घटना स्थल थाना जीआरपी िेवररया का पाया जाना ,
,,,,,,,
566,GRP GORAKHPUR ,9966/2016 ,DEORIA ,GRP BHATNI ,,घटना स्थल थाना जीआरपी भटनी का होना ,
,,,,,,,
567,GRP GORAKHPUR ,9934/2016 ,DEORIA ,GRP DEORIA ,,घटना स्थल थाना जीआरपी िेवररया का पाया जाना ,
,,,,,,,
568,GRP GORAKHPUR ,0000/2015 ,DEORIA ,GRP BHATNI ,,घटना स्थल थाना जी.आर.पी.भटनी होने के कारण ,
,,,,,,,
569,GRP GORAKHPUR ,9933/2016 ,JHANSI ,GRP JHANSI ,,घटना स्थल थाना जीआरपी झांसी का पाया जाना ,
,,,,,,,
570,GRP GORAKHPUR ,9989/2015 ,KANPUR CITY ,GRP KANPUR ,,घटनास्थलप्लेटफािटन06रेलवेस्टेशनकानपुरहोनेके कारण ,
,,,,,,,
571,GRP GORAKHPUR ,9996/2015 ,KANPUR CITY ,GRP KANPUR ,,घटना स्थल थाना जी.आर.पी.कानपुर होने के कारण ,
,,,,,,,
572,GRP GORAKHPUR ,9974/2015 ,KANPUR CITY ,GRP KANPUR ,,घटना स्थल के आधार पर ,
,,,,,,,
573,GRP GORAKHPUR ,8887/2015 ,KANPUR CITY ,GRP KANPUR ,,घ ट न ा स् थ ल र े ल व े स् ट े श न क ा न प ु र प् ल े ट फ ि ट न 0ं 6 ह ो न े क े क ा र ण ,
,,,,,,,
574,GRP GORAKHPUR ,9950/2016 ,KANPUR CITY ,GRP KANPUR ,,घटना स्थल थाना जीआरपी कानपुर का होना ,
,,,,,,,
575,GRP GORAKHPUR ,9951/2016 ,KANPUR CITY ,GRP KANPUR ,,घटना स्थल थाना जीआरपी कानपुर का होना ,
,,,,,,,
576,GRP GORAKHPUR ,9956/2016 ,KANPUR CITY ,GRP KANPUR ,,घटना स्थल थाना जीआरपी कानपुर का होना ,
,,,,,,,
577,GRP GORAKHPUR ,9998/2016 ,KANPUR CITY ,GRP KANPUR ,,घटना स्थल थाना जीआरपी कानपुर का होना ,
,,,,,,,
578,GRP GORAKHPUR ,9939/2016 ,GHAZIABAD ,GRP GHAZIABAD ,,घटना स्थल थाना जीआरपी गान्जयाबाि का होना ,
,,,,,,,
579,GRP GORAKHPUR ,9976/2016 ,GHAZIABAD ,GRP GHAZIABAD ,,घटना स्थल वहि क्षेत्र थाना जीआरपी गान्जयाबाि का पाया जाना ,
,,,,,,,
580,GRP GORAKHPUR ,9926/2016 ,BALLIA ,GRP BALLIYA ,0183/2016 ,घटना स्थल थाना जीआरपी बमलया का क्षेत्र होने के कारण ,
,,,,,,,
581,,GRP GORAKHPUR ,9914/2016 ,BARABANKI ,GRP BARABANKI ,,घटना स्थल थाना जीआरपी बाराबंकी का पाया जाना 
,,,,,,,
582,GRP GORAKHPUR ,9999/2016 ,BARABANKI ,GRP BARABANKI ,,घटना स्थल थाना जीआरपी वाराबंकी का होना ,
,,,,,,,
583,GRP GORAKHPUR ,9931/2016 ,ALLAHABAD ,GRP ALLAHABAD ,,घटना स्थल थाना जीआरपी इलाहाबाि का पाया जाना ,
,,,,,,,
584,GRP GORAKHPUR ,9917/2016 ,FATEHGARH ,GRP FARRUKHABAD ,,घटना स्थल थाना जीआरपी फरुटखाबाि होना ,
,,,,,,,
585,GRP GORAKHPUR ,9977/2015 ,GONDA ,GRP GONDA ,,घटना स्थल थाना जीआरपी गोंडा होने के कारण ,
,,,,,,,
586,GRP GORAKHPUR ,9927/2016 ,SHAHJAHANPUR ,GRP SHAHJAHANPUR ,,घटना स्थल थाना जीआरपी शाहजहााँपुर का क्षेत्र होने के कारण ,
,,,,,,,
587,GRP GORAKHPUR ,9954/2016 ,GORAKHPUR ,KOTWALI ,,घटना स्थल वहि क्षेत्र थाना कोतवाली गोरखपुर का होना ,
,,,,,,,
588,GRP GORAKHPUR ,9913/2016 ,SAHARANPUR ,GRP SAHARANPUR ,,घटना स्थल थाना जीआरपी सहारनपुर होने के कारण ,
,,,,,,,
589,BELIPAR ,0137/2016 ,GORAKHPUR ,KHORABAR ,0414/2016 ,वररष्ठ पुलमलस अमधक्षक गोरखपुर िारा ,
,,,,,,,
590,CHILUWATAL ,0282/2017 ,GORAKHPUR ,GORAKHNATH ,,घटना स्थल थाना गोरखनाथ का है ,
,,,,,,,
591,CHILUWATAL ,0311/2017 ,GORAKHPUR ,GULRIHA ,,घटना स्थल थाना गुलररहा िे पडता है ,
,,,,,,,
592,CHILUWATAL ,0325/2017 ,GORAKHPUR ,SAHJANWA ,,due to unavaiable investigation officer ,
,,,,,,,
593,GULRIHA ,0276/2017 ,GORAKHPUR ,CANTT ,0623/2017 ,ghatna sthal ke adhaar pr ,
,,,,,,,
594,KHORABAR ,0387/2017 ,GORAKHPUR ,CANTT ,0587/2017 ,घटना स्थल थाना कैं ट के होने के कारण ि0ु स्थानान्तररत ,
,,,,,,,
595,KHORABAR ,7001/2017 ,GORAKHPUR ,CANTT ,,थाना कैण्ट से सम्बन्न्धत होने के कारण ,
,,,,,,,
596,KOTWALI ,0093/2017 ,GORAKHPUR ,CANTT ,0561/2017 ,घटनास्थल थाना कैंट से सम्बन्न्धत होने के कारण ,
,,,,,,,
597,SIKARIGANJ ,0173/2016 ,GORAKHPUR ,BELIPAR ,0034/2017 ,घटना स्थल ग्राि संवई बाजार थाना बेलीपार पाये जाने के फलस्वरूप ,
,,,,,,,
598,GRP GORAKHPUR ,9974/2016 ,BAREILLY ,GRP BAREILLY JUNCTION ,,घटना स्थल थाना जीआरपी बरेली का पाया जाना ,
,,,,,,,
599,GRP GORAKHPUR ,9967/2015 ,VARANASI ,GRP VARANASI CANTT. ,,घटना का स्थल थाना जीआरपी वाराणसी का पाया जाना ,
,,,,,,,
600,GRP GORAKHPUR ,9930/2016 ,VARANASI ,GRP VARANASI CANTT. ,,घटना स्थल थाना जीआरपी वाराणसी कै न्ट क्षेत्र होने के कारण ,
,,,,,,,
601,GRP GORAKHPUR ,9963/2016 ,MAU ,GRP MAU ,,घटना स्थल थाना जीआरपी िऊ का होना ,
,,,,,,,
602,GRP GORAKHPUR ,9936/2016 ,VARANASI ,GRP VARANASI CANTT. ,,घटना स्थल थाना जीआरपी वाराणसी कै न्ट का होना ,
,,,,,,,
603,CANTT ,0270/2016 ,MAU ,KOTWALI MAU ,0877/2016 ,घटना का सम्बन्ध थाना कोतवाली जनपि िऊ से सम्बन्न्धत होना ,
,,,,,,,
604,GRP GORAKHPUR ,9938/2016 ,MAU ,GRP MAU ,0324/2016 ,घटना स्थल थाना जीआरपी िऊ का होना ,
,,,,,,,
605,GRP GORAKHPUR ,9999/2015 ,MAU ,GRP MAU ,,घटना स्थल थाना जी.आर.पी.िऊ होने के कारण ,
,,,,,,,
606,GRP GORAKHPUR ,9968/2015 ,MAU ,GRP MAU ,,घटना स्थल थाना जीआरपी िऊ का क्षेत्र होना ,
,,,,,,,
607,GRP GORAKHPUR ,9997/2015 ,MAHRAJGANJ ,GRP ANAND NAGAR ,0331/2015 ,घटना स्थल थाना जी.आर.पी.आनन्ि नगर होने के कारण ,
,,,,,,,
608,GRP GORAKHPUR ,9984/2015 ,LUCKNOW ,GRP CHARBAGH LUCKNOW ,,घटना स्थल रेलवे स्टेशन चारबाग लखनऊ का पाया जाना ,
,,,,,,,
609,GRP GORAKHPUR ,9985/2015 ,LUCKNOW ,GRP CHARBAGH LUCKNOW ,,घटना स्थल रेलवे स्टेशन चारबाग लखनऊ का पाया जाना ,
,,,,,,,
610,GRP GORAKHPUR ,9975/2016 ,LUCKNOW ,GRP CHARBAGH LUCKNOW ,,घटना स्थल वहि क्षेत्र थाना जीआरपी चारबाग लखनऊ का पाया जाना ,
,,,,,,,
